signal_time,entry_time,side,level_name,level_value,fut_signal_close,fut_entry,fut_sl,fut_tp,signal1_idx,signal2_idx,entry_idx,lot1_exit_time,lot1_exit_price,lot1_exit_reason,lot1_pnl_points,lot2_exit_time,lot2_exit_price,lot2_exit_reason,lot2_pnl_points,lot2_final_sl,mfe_points,mae_points,total_points_2lots,effective_points_per_lot,risk_points,tp1_points,tp1_rr
2025-12-01 13:45:00+05:30,2025-12-01 13:55:00+05:30,SHORT,S1,26661.5,26660.0,26660.0,26666.0,26620.0,279,280,281,2025-12-01 14:00:00+05:30,26666.0,SL,-6.0,2025-12-01 14:00:00+05:30,26666.0,INITIAL_SL,-6.0,26666.0,0.0,20.0,-12.0,-6.0,6.0,40.0,6.666666666666667
2025-12-02 10:40:00+05:30,2025-12-02 10:50:00+05:30,SHORT,S1,26573.699999999997,26559.5,26564.9,26577.2,26524.9,317,318,319,2025-12-02 10:50:00+05:30,26577.2,SL,-12.299999999999272,2025-12-02 10:50:00+05:30,26577.2,INITIAL_SL,-12.299999999999272,26577.2,0.0,14.399999999997817,-24.599999999998545,-12.299999999999272,12.299999999999272,40.0,3.2520325203253955
2025-12-02 11:10:00+05:30,2025-12-02 11:20:00+05:30,SHORT,S1,26573.699999999997,26562.0,26564.9,26579.9,26524.9,323,324,325,2025-12-02 14:30:00+05:30,26524.9,TP1,40.0,2025-12-02 14:30:00+05:30,26532.0,TRAIL_SL,32.900000000001455,26532.0,44.900000000001455,1.5,72.90000000000146,36.45000000000073,15.0,40.0,2.6666666666666665
2025-12-03 09:30:00+05:30,2025-12-03 09:40:00+05:30,SHORT,S2,26428.066666666662,26410.0,26409.9,26450.8,26369.9,378,379,380,2025-12-03 15:10:00+05:30,26450.8,SL,-40.89999999999782,2025-12-03 15:10:00+05:30,26450.8,INITIAL_SL,-40.89999999999782,26450.8,39.900000000001455,50.099999999998545,-81.79999999999563,-40.89999999999782,40.89999999999782,40.0,0.9779951100245021
2025-12-05 11:00:00+05:30,2025-12-05 11:10:00+05:30,LONG,R1,26562.866666666672,26579.0,26579.0,26557.0,26619.0,546,547,548,2025-12-05 12:25:00+05:30,26619.0,TP1,40.0,2025-12-05 13:00:00+05:30,26641.1,TRAIL_SL,62.099999999998545,26641.1,79.90000000000146,3.0,102.09999999999854,51.04999999999927,22.0,40.0,1.8181818181818181
2025-12-08 13:30:00+05:30,2025-12-08 13:40:00+05:30,SHORT,S2,26400.0,26384.7,26389.9,26429.0,26349.9,651,652,653,2025-12-08 15:25:00+05:30,26370.0,EOD,19.900000000001455,2025-12-08 15:25:00+05:30,26370.0,EOD,19.900000000001455,26429.0,24.900000000001455,18.899999999997817,39.80000000000291,19.900000000001455,39.099999999998545,40.0,1.0230179028133373
2025-12-08 13:55:00+05:30,2025-12-08 14:05:00+05:30,SHORT,S2,26400.0,26395.0,26383.9,26402.8,26343.9,656,657,658,2025-12-08 14:45:00+05:30,26402.8,SL,-18.899999999997817,2025-12-08 14:45:00+05:30,26402.8,INITIAL_SL,-18.899999999997817,26402.8,18.900000000001455,21.0,-37.799999999995634,-18.899999999997817,18.899999999997817,40.0,2.116402116402361
2025-12-09 09:30:00+05:30,2025-12-09 09:40:00+05:30,SHORT,S1,26271.099999999995,26237.0,26225.5,26272.4,26185.5,678,679,680,2025-12-09 10:15:00+05:30,26272.4,SL,-46.900000000001455,2025-12-09 10:15:00+05:30,26272.4,INITIAL_SL,-46.900000000001455,26272.4,31.5,63.5,-93.80000000000291,-46.900000000001455,46.900000000001455,40.0,0.8528784648187369
2025-12-10 14:20:00+05:30,2025-12-10 14:30:00+05:30,SHORT,S1,26181.200000000004,26178.0,26168.6,26191.4,26128.6,811,812,813,2025-12-10 14:30:00+05:30,26191.4,SL,-22.80000000000291,2025-12-10 14:30:00+05:30,26191.4,INITIAL_SL,-22.80000000000291,26191.4,3.399999999997817,34.60000000000218,-45.60000000000582,-22.80000000000291,22.80000000000291,40.0,1.7543859649120568
2025-12-12 11:10:00+05:30,2025-12-12 11:20:00+05:30,LONG,R1,26392.666666666664,26403.5,26396.3,26390.0,26436.3,923,924,925,2025-12-12 12:35:00+05:30,26436.3,TP1,40.0,2025-12-12 12:45:00+05:30,26437.6,TRAIL_SL,41.29999999999927,26437.6,43.70000000000073,0.0,81.29999999999927,40.649999999999636,6.299999999999272,40.0,6.3492063492070825
2025-12-17 11:55:00+05:30,2025-12-17 12:05:00+05:30,SHORT,S1,26208.333333333336,26205.0,26186.1,26231.8,26146.1,1157,1158,1159,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,26231.8,9.099999999998545,38.900000000001455,-77.80000000000291,-38.900000000001455,45.70000000000073,40.0,0.8752735229759161
2025-12-18 09:40:00+05:30,2025-12-18 09:50:00+05:30,SHORT,S1,26166.666666666664,26147.0,26134.0,26167.8,26094.0,1205,1206,1207,2025-12-18 10:10:00+05:30,26167.8,SL,-33.79999999999927,2025-12-18 10:10:00+05:30,26167.8,INITIAL_SL,-33.79999999999927,26167.8,3.0,51.0,-67.59999999999854,-33.79999999999927,33.79999999999927,40.0,1.1834319526627475
2025-12-23 14:15:00+05:30,2025-12-23 14:25:00+05:30,LONG,R1,26561.36666666666,26573.0,26584.0,26559.0,26624.0,1485,1486,1487,2025-12-23 14:30:00+05:30,26559.0,SL,-25.0,2025-12-23 14:30:00+05:30,26559.0,INITIAL_SL,-25.0,26559.0,0.0,25.900000000001455,-50.0,-25.0,25.0,40.0,1.6
2025-12-24 10:10:00+05:30,2025-12-24 10:20:00+05:30,LONG,R1,26580.333333333336,26585.0,26585.5,26568.2,26625.5,1511,1512,1513,2025-12-24 10:45:00+05:30,26568.2,SL,-17.299999999999272,2025-12-24 10:45:00+05:30,26568.2,INITIAL_SL,-17.299999999999272,26568.2,1.5,27.5,-34.599999999998545,-17.299999999999272,17.299999999999272,40.0,2.312138728323797
2025-12-26 11:05:00+05:30,2025-12-26 11:15:00+05:30,SHORT,S2,26406.533333333333,26398.5,26396.4,26410.8,26356.4,1597,1598,1599,2025-12-26 14:20:00+05:30,26356.4,TP1,40.0,2025-12-26 14:25:00+05:30,26360.0,TRAIL_SL,36.400000000001455,26360.0,41.400000000001455,1.8999999999978172,76.40000000000146,38.20000000000073,14.399999999997817,40.0,2.7777777777781987
2025-12-29 11:00:00+05:30,2025-12-29 11:10:00+05:30,SHORT,S1,26324.066666666673,26310.0,26304.1,26328.0,26264.1,1671,1672,1673,2025-12-29 13:35:00+05:30,26264.1,TP1,40.0,2025-12-29 13:45:00+05:30,26252.0,TRAIL_SL,52.099999999998545,26252.0,59.0,10.900000000001455,92.09999999999854,46.04999999999927,23.900000000001455,40.0,1.6736401673639147
2025-12-29 13:10:00+05:30,2025-12-29 13:20:00+05:30,SHORT,S2,26281.133333333335,26272.0,26270.0,26290.3,26230.0,1697,1698,1699,2025-12-29 15:25:00+05:30,26265.0,EOD,5.0,2025-12-29 15:25:00+05:30,26265.0,EOD,5.0,26290.3,24.900000000001455,10.0,10.0,5.0,20.299999999999272,40.0,1.9704433497537652
2025-12-30 13:00:00+05:30,2025-12-30 13:10:00+05:30,SHORT,S1,26203.633333333328,26196.4,26195.8,26204.1,26155.8,1770,1771,1772,2025-12-30 13:20:00+05:30,26204.1,SL,-8.299999999999272,2025-12-30 13:20:00+05:30,26204.1,INITIAL_SL,-8.299999999999272,26204.1,8.799999999999272,10.100000000002183,-16.599999999998545,-8.299999999999272,8.299999999999272,40.0,4.819277108434157
2026-01-08 10:00:00+05:30,2026-01-08 10:10:00+05:30,SHORT,S1,26332.166666666664,26315.0,26307.8,26333.1,26267.8,2259,2260,2261,2026-01-08 10:55:00+05:30,26267.8,TP1,40.0,2026-01-08 11:30:00+05:30,26225.4,TRAIL_SL,82.39999999999782,26225.4,96.0,2.2000000000007276,122.39999999999782,61.19999999999891,25.299999999999272,40.0,1.5810276679842352
2026-01-12 10:30:00+05:30,2026-01-12 10:40:00+05:30,SHORT,S1,25830.0,25822.6,25810.0,25840.0,25770.0,2415,2416,2417,2026-01-12 11:15:00+05:30,25770.0,TP1,40.0,2026-01-12 11:45:00+05:30,25732.0,TRAIL_SL,78.0,25732.0,95.0,15.299999999999272,118.0,59.0,30.0,40.0,1.3333333333333333
2026-01-19 11:05:00+05:30,2026-01-19 11:15:00+05:30,SHORT,S2,25732.399999999998,25720.0,25720.0,25748.9,25680.0,2722,2723,2724,2026-01-19 13:45:00+05:30,25748.9,SL,-28.900000000001455,2026-01-19 13:45:00+05:30,25748.9,INITIAL_SL,-28.900000000001455,25748.9,30.0,44.29999999999927,-57.80000000000291,-28.900000000001455,28.900000000001455,40.0,1.3840830449826294
2026-01-23 13:15:00+05:30,2026-01-23 13:25:00+05:30,SHORT,S1,25349.86666666667,25307.6,25290.5,25353.8,25250.5,3048,3049,3050,2026-01-23 13:30:00+05:30,25250.5,TP1,40.0,2026-01-23 13:40:00+05:30,25232.7,TRAIL_SL,57.79999999999927,25232.7,100.5,14.5,97.79999999999927,48.899999999999636,63.29999999999927,40.0,0.6319115323854733
2026-01-29 14:25:00+05:30,2026-01-29 14:35:00+05:30,LONG,R1,25530.63333333334,25542.0,25554.3,25515.8,25594.3,3287,3288,3289,2026-01-29 15:25:00+05:30,25539.0,EOD,-15.299999999999272,2026-01-29 15:25:00+05:30,25539.0,EOD,-15.299999999999272,25515.8,10.5,29.299999999999272,-30.599999999998545,-15.299999999999272,38.5,40.0,1.0389610389610389
2026-01-30 13:05:00+05:30,2026-01-30 13:15:00+05:30,SHORT,S1,25346.06666666667,25330.0,25333.0,25365.8,25293.0,3346,3347,3348,2026-01-30 13:40:00+05:30,25365.8,SL,-32.79999999999927,2026-01-30 13:40:00+05:30,25365.8,INITIAL_SL,-32.79999999999927,25365.8,35.0,62.0,-65.59999999999854,-32.79999999999927,32.79999999999927,40.0,1.2195121951219783
2026-02-06 10:25:00+05:30,2026-02-06 10:35:00+05:30,SHORT,S2,25591.533333333333,25586.1,25581.0,25620.0,25541.0,3764,3765,3766,2026-02-06 11:05:00+05:30,25620.0,SL,-39.0,2026-02-06 11:05:00+05:30,25620.0,INITIAL_SL,-39.0,25620.0,10.900000000001455,43.099999999998545,-78.0,-39.0,39.0,40.0,1.0256410256410255
2026-02-10 09:30:00+05:30,2026-02-10 09:40:00+05:30,LONG,R2,25987.866666666665,25999.9,26004.0,25966.3,26044.0,3903,3904,3905,2026-02-10 12:50:00+05:30,26044.0,TP1,40.0,2026-02-10 12:55:00+05:30,26033.0,TRAIL_SL,29.0,26033.0,40.0,16.799999999999272,69.0,34.5,37.70000000000073,40.0,1.0610079575596612
2026-02-11 10:35:00+05:30,2026-02-11 10:45:00+05:30,LONG,R1,26029.1,26035.0,26033.0,26015.0,26073.0,3991,3992,3993,2026-02-11 10:55:00+05:30,26015.0,SL,-18.0,2026-02-11 10:55:00+05:30,26015.0,INITIAL_SL,-18.0,26015.0,7.0,21.299999999999272,-36.0,-18.0,18.0,40.0,2.2222222222222223
2026-02-12 11:30:00+05:30,2026-02-12 11:40:00+05:30,SHORT,S2,25891.233333333334,25878.0,25880.0,25896.9,25840.0,4077,4078,4079,2026-02-12 12:20:00+05:30,25896.9,SL,-16.900000000001455,2026-02-12 12:20:00+05:30,25896.9,INITIAL_SL,-16.900000000001455,25896.9,12.599999999998545,19.0,-33.80000000000291,-16.900000000001455,16.900000000001455,40.0,2.36686390532524
2026-02-12 13:45:00+05:30,2026-02-12 13:55:00+05:30,SHORT,S2,25891.233333333334,25886.0,25885.0,25908.3,25845.0,4104,4105,4106,2026-02-12 14:45:00+05:30,25845.0,TP1,40.0,2026-02-12 14:55:00+05:30,25835.4,TRAIL_SL,49.599999999998545,25835.4,65.0,8.0,89.59999999999854,44.79999999999927,23.299999999999272,40.0,1.7167381974249463
2026-02-19 14:25:00+05:30,2026-02-19 14:35:00+05:30,SHORT,S2,25592.466666666667,25558.0,25575.0,25594.9,25535.0,4487,4488,4489,2026-02-19 14:40:00+05:30,25535.0,TP1,40.0,2026-02-19 14:40:00+05:30,25575.0,TRAIL_SL,0.0,25575.0,44.79999999999927,10.0,40.0,20.0,19.900000000001455,40.0,2.0100502512561342
